,date,province,PM25,O3,CO,cluster
352,2020-09-08,กาญจนบุรี,6.217391304347826,79,120,Best Air
353,2020-09-08,ตาก,4.0,50,110,Best Air
354,2020-09-08,ตรัง,8.0,55,100,Best Air
355,2020-09-08,นครศรีธรรมราช,7.848484848484849,70,110,Best Air
356,2020-09-08,ภูเก็ต,11.083333333333334,93,100,Best Air
357,2020-09-08,ระนอง,4.541666666666667,60,60,Best Air
358,2020-09-08,สตูล,11.869565217391305,101,170,Worst Air
359,2020-09-08,สงขลา,23.041666666666668,104,170,Moderate Air
360,2020-09-08,สุราษฎร์ธานี,10.130434782608695,62,100,Best Air
361,2020-09-08,ยะลา,13.083333333333334,78,160,Best Air
362,2020-09-08,กรุงเทพฯ,12.246969696969696,81,150,Best Air
363,2020-09-08,ชลบุรี,14.23943661971831,81,80,Best Air
364,2020-09-15,เชียงราย,12.979166666666666,99,220,Moderate Air
365,2020-09-15,เชียงใหม่,13.791666666666666,57,190,Best Air
366,2020-09-15,น่าน,8.625,58,150,Best Air
367,2020-09-15,พะเยา,13.625,78,180,Moderate Air
368,2020-09-15,แพร่,11.541666666666666,75,200,Moderate Air
369,2020-09-15,แม่ฮ่องสอน,5.125,26,80,Best Air
370,2020-09-15,ลำปาง,10.357894736842105,104,230,Moderate Air
371,2020-09-15,ลำพูน,19.416666666666668,47,150,Best Air
372,2020-09-15,อุตรดิตถ์,45.0,76,190,Worst Air
373,2020-09-15,กาฬสินธ์ุ,25.0,82,200,Moderate Air
374,2020-09-15,ขอนแก่น,19.5,96,200,Moderate Air
375,2020-09-15,ชัยภูมิ,28.0,78,120,Best Air
376,2020-09-15,นครพนม,23.0,72,190,Moderate Air
377,2020-09-15,นครราชสีมา,15.916666666666666,88,160,Moderate Air
378,2020-09-15,บุรีรัมย์,24.0,90,150,Moderate Air
379,2020-09-15,ร้อยเอ็ด,18.0,73,160,Best Air
380,2020-09-15,เลย,10.541666666666666,85,200,Moderate Air
381,2020-09-15,สกลนคร,46.0,97,240,Worst Air
382,2020-09-15,หนองคาย,13.75,120,360,Moderate Air
383,2020-09-15,อุดรธานี,48.0,107,260,Worst Air
384,2020-09-15,อุบลราชธานี,7.708333333333333,64,150,Best Air
385,2020-09-15,กำแพงเพชร,51.0,84,230,Worst Air
386,2020-09-15,นครนายก,21.0,64,120,Best Air
387,2020-09-15,นครสวรรค์,21.75,80,210,Moderate Air
388,2020-09-15,นนทบุรี,8.875,60,330,Moderate Air
389,2020-09-15,ปทุมธานี,9.75,70,400,Moderate Air
390,2020-09-15,พระนครศรีอยุธยา,12.833333333333334,72,280,Moderate Air
391,2020-09-15,พิจิตร,86.0,102,280,Worst Air
392,2020-09-15,พิษณุโลก,63.0,103,240,Worst Air
393,2020-09-15,เพชรบูรณ์,16.0,52,120,Best Air
394,2020-09-15,ลพบุรี,46.0,76,210,Worst Air
395,2020-09-15,สมุทรปราการ,12.315315315315315,42,140,Best Air
396,2020-09-15,สมุทรสาคร,11.25,53,120,Best Air
397,2020-09-15,สิงห์บุรี,58.0,86,260,Worst Air
398,2020-09-15,สุโขทัย,38.0,88,200,Worst Air
399,2020-09-15,สระบุรี,21.479166666666668,71,120,Best Air
