,date,provinceNo,co
697,20210101,54.0,350
698,20210101,52.0,370
699,20210108,74.0,220
700,20210108,71.0,200
701,20210108,72.0,210
702,20210108,63.0,220
703,20210108,64.0,180
704,20210108,69.0,220
705,20210108,73.0,330
706,20210108,70.0,290
707,20210108,56.0,510
708,20210108,43.0,670
709,20210108,75.0,680
710,20210108,41.0,500
711,20210108,34.0,710
712,20210108,35.0,560
713,20210108,36.0,540
714,20210108,47.0,520
715,20210108,40.0,580
716,20210108,44.0,580
717,20210108,53.0,540
718,20210108,31.0,540
719,20210108,0.0,460
720,20210108,5.0,260
721,20210108,3.0,390
722,20210108,2.0,420
723,20210108,1.0,380
724,20210108,7.0,360
725,20210108,6.0,460
726,20210108,4.0,480
727,20210108,8.0,500
728,20210108,45.0,600
729,20210108,57.0,450
730,20210108,38.0,550
731,20210108,29.0,550
732,20210108,37.0,510
733,20210108,39.0,480
734,20210108,33.0,580
735,20210108,49.0,570
736,20210108,24.0,640
737,20210108,20.0,750
738,20210108,26.0,750
739,20210108,12.0,540
740,20210108,21.0,670
741,20210108,10.0,700
742,20210108,9.0,640
743,20210108,19.0,580
744,20210108,11.0,690
